Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Max/Data.Sequence:1000,2.9491339507670447e-5,2.9468946068786954e-5,2.9511342143391668e-5,7.504442903559627e-8,6.306227128199225e-8,9.180561323987855e-8
Max/Data.Massiv.Array:1000,8.191707468920616e-7,8.185752096385562e-7,8.197716413939899e-7,2.1052069877698243e-9,1.7070569999889126e-9,2.7292978268173466e-9
Max/Data.RRBVector:1000,8.558833928307543e-6,8.549399047311392e-6,8.565474543609288e-6,2.6827657632401952e-8,2.1223636888136417e-8,3.7502612252003343e-8
Max/Data.List:10000,2.3922964871158522e-5,2.3900574237118463e-5,2.3966059601754017e-5,9.43249198020074e-8,6.360121083166462e-8,1.607452716042347e-7
Max/Data.Vector:10000,1.8247692325447825e-5,1.8232242829222554e-5,1.8258258521852387e-5,4.1557103283847096e-8,3.2432528982433875e-8,5.628720187825983e-8
Max/Data.Vector.Unboxed:10000,1.7979047744923807e-5,1.7968607133334108e-5,1.798823598141217e-5,3.3943142311396305e-8,2.5919117464505364e-8,4.6115438254098833e-8
Max/Data.Vector.Storable:10000,5.272936099704775e-6,5.268968461064398e-6,5.27742535752337e-6,1.4231014574848311e-8,1.1291062267120375e-8,1.857523094066015e-8
Max/Data.Sequence:10000,2.991773075573309e-4,2.989229046900317e-4,2.994068602585246e-4,8.132216476266131e-7,6.584821251628764e-7,1.1993818047386828e-6
Max/Data.Massiv.Array:10000,7.853520575888751e-6,7.847796640869138e-6,7.858787740652739e-6,1.9468314402358825e-8,1.6804365441433292e-8,2.355154842674087e-8
Max/Data.RRBVector:10000,8.462714245081559e-5,8.456872180286302e-5,8.470503399124872e-5,2.2086542549927748e-7,1.7331038132221857e-7,3.4645280033463426e-7
Filter Element/Data.List:1,9.184607121753345e-5,9.176667478592061e-5,9.191228130063706e-5,2.4233507662701806e-7,1.8903672240393333e-7,3.010489379281193e-7
Filter Element/Data.Vector:1,8.348244510908017e-5,8.342373414616181e-5,8.353257271051126e-5,1.8654127204040658e-7,1.5626714277200943e-7,2.295624586649265e-7
Filter Element/Data.Vector.Unboxed:1,5.3278674541668446e-5,5.3235802583455154e-5,5.3316021295447335e-5,1.3294080637070324e-7,1.1282901721470736e-7,1.5865381132635546e-7
